form	lemma	pos	morphology
φωνῆσαν	φωνέω	V-	-sapann--i
κηρύξω	κηρύσσω	V-	1sasa----i
κράζων	κράζω	V-	-sppamn--i
ἐπηρώτα	ἐπερωτάω	V-	3siia----i
παρακαλεῖν	παρακαλέω	V-	--pna----i
ἀπάγγειλον	ἀπαγγέλλω	V-	2sama----i
παρακαλεῖ	παρακαλέω	V-	3spia----i
λαλούμενον	λαλέω	V-	-spppma--i
ἐκήρυξαν	κηρύσσω	V-	3paia----i
αἴτησόν	αἰτέω	V-	2sama----i
αἰτήσῃς	αἰτέω	V-	2sasa----i
αἰτήσωμαι	αἰτέω	V-	1sasm----i
ἐδίδαξαν	διδάσκω	V-	3paia----i
ἐπερωτῶσιν	ἐπερωτάω	V-	3ppia----i
ἐπηρώτων	ἐπερωτάω	V-	3piia----i
παρακαλοῦσιν	παρακαλέω	V-	3ppia----i
λέγωσιν	λέγω	V-	3ppsa----i
ἐκήρυσσον	κηρύσσω	V-	3piia----i
εἶπα	λέγω	V-	1saia----i
Ἔφη	φημί	V-	3siia----i
γράψαι	γράφω	V-	--ana----i
ἔγραψεν	γράφω	V-	3saia----i
αἰτήσωμέν	αἰτέω	V-	1pasa----i
κράζειν	κράζω	V-	--pna----i
φωνήσατε	φωνέω	V-	2pama----i
φωνοῦσιν	φωνέω	V-	3ppia----i
ἐπερωτήσω	ἐπερωτάω	V-	1sfia----i
εἶπες	λέγω	V-	2saia----i
κηρυχθῆναι	κηρύσσω	V-	--anp----i
λαλεῖτε	λαλέω	V-	2ppma----i
εἰπών	λέγω	V-	-sapamn--i
αἰτεῖσθαι	αἰτέω	V-	--pnm----i
ἀπήγγειλεν	ἀπαγγέλλω	V-	3saia----i
λελαλημένοις	λαλέω	V-	-prppnd--i
αἰτήσας	αἰτέω	V-	-sapamn--i
λεγόντων	λέγω	V-	-pppamg--i
ἐλάλουν	λαλέω	V-	3piia----i
λαληθέντος	λαλέω	V-	-sappng--i
λαληθέντων	λαλέω	V-	-pappng--i
ἐλαλήθη	λαλέω	V-	3saip----i
εἰρημένον	λέγω	V-	-srppna--i
λαλουμένοις	λαλέω	V-	-ppppnd--i
ἐπερωτῶντα	ἐπερωτάω	V-	-sppama--i
Ἔλεγεν	λέγω	V-	3siia----i
εἴρηται	λέγω	V-	3srip----i
γεγραμμένον	γράφω	V-	-srppnn--i
κηρύξαι	κηρύσσω	V-	--ana----i
ἐμαρτύρουν	μαρτυρέω	V-	3piia----i
ἐρεῖτέ	λέγω	V-	2pfia----i
ἠρώτησαν	ἐρωτάω	V-	3paia----i
λέγοντα	λέγω	V-	-pppann--i
